"","County.Code","Arithmetic.Mean"
"8487","00083",7.468163
"8488","00083",7.468163
"8489","00083",7.468163
"8512","00083",7.2984
"8513","00083",7.246502
"8514","00083",7.246502
"8515","00083",7.246502
"8516","00083",7.246502
"8550","00085",5.778497
"8551","00085",5.763448
"8552","00085",5.763448
"8553","00085",5.763448
"8554","00085",5.763448
"8666","00085",7.955882
"8667","00085",7.955882
"8668","00085",7.955882
"8669","00085",7.955882
"8670","00085",8.250882
"8671","00085",8.205782
"8672","00085",8.205782
"8673","00085",8.205782
"8674","00085",8.205782
"8768","00085",8.939698
"8769","00085",8.889667
"8770","00085",8.889667
"8771","00085",8.889667
"8772","00085",8.889667
"8791","00087",5.666146
"8792","00087",5.604478
"8793","00087",5.604478
"8794","00087",5.604478
"8795","00087",5.604478
"8799","00087",5.091443
"8800","00087",5.046296
"8801","00087",5.046296
"8802","00087",5.046296
"8803","00087",5.046296
"8819","00089",4.805128
"8820","00089",4.805128
"8821","00089",4.805128
"8822","00089",4.805128
"8860","00093",4.053846
"8861","00093",4.053846
"8862","00093",4.053846
"8863","00093",4.053846
"8901","00095",6.492747
"8902","00095",6.468858
"8903","00095",6.468858
"8904","00095",6.468858
"8905","00095",6.468858
"8906","00095",8.100971
"8907","00095",8.037324
"8908","00095",8.037324
"8909","00095",8.037324
"8910","00095",8.037324
"8959","00097",4.026599
"8960","00097",3.986195
"8961","00097",3.986195
"8962","00097",3.986195
"8963","00097",3.986195
"9004","00099",7.809524
"9005","00099",7.809524
"9006","00099",7.809524
"9007","00099",7.809524
"9008","00099",11.05188
"9009","00099",11.046667
"9010","00099",11.046667
"9011","00099",11.046667
"9012","00099",11.046667
"9079","00099",11.326585
"9080","00099",11.166949
"9081","00099",11.166949
"9082","00099",11.348319
"9083","00099",11.166949
"9109","00101",6.784746
"9110","00101",6.784746
"9111","00101",6.784746
"9112","00101",6.784746
"9138","00103",2.841341
"9139","00103",2.813223
"9140","00103",2.813223
"9141","00103",2.813223
"9142","00103",2.813223
"9204","00107",12.30375
"9205","00107",12.30375
"9206","00107",12.30375
"9207","00107",12.30375
"9302","00111",9.732566
"9303","00111",9.689037
"9304","00111",9.689037
"9305","00111",9.689037
"9306","00111",9.689037
"9331","00111",8.890081
"9332","00111",8.826756
"9333","00111",8.826756
"9334","00111",8.826756
"9335","00111",8.826756
"9349","00111",9.633261
"9350","00111",9.583737
"9351","00111",9.583737
"9352","00111",9.583737
"9353","00111",9.583737
"9464","00111",8.897482
"9465","00111",8.844667
"9466","00111",8.844667
"9467","00111",8.844667
"9468","00111",8.844667
"9469","00111",8.81924
"9470","00111",8.787043
"9471","00111",8.787043
"9472","00111",8.787043
"9473","00111",8.787043
"9550","00111",8.472645
"9551","00111",8.441096
"9552","00111",8.441096
"9553","00111",8.441096
"9554","00111",8.441096
"9585","00113",5.68
"9586","00113",5.68
"9587","00113",5.68
"9588","00113",5.68
"9599","00001",8.4
"9600","00001",8.4
"9601","00001",8.4
"9602","00001",8.4
"9603","00001",9.553129
"9604","00001",9.530303
"9605","00001",9.530303
"9606","00001",9.530303
"9607","00001",9.530303
"9656","00005",5.274725
"9657","00005",5.274725
"9658","00005",5.274725
"9659","00005",5.274725
"9681","00013",6.487059
"9682","00013",6.487059
"9683","00013",6.487059
"9684","00013",6.487059
"9694","00013",5.178481
"9695","00013",5.178481
"9696","00013",5.178481
"9697","00013",5.178481
"9919","00031",6.521091
"9920","00031",6.521091
"9921","00031",6.521091
"9922","00031",6.521091
"9923","00031",6.327273
"9924","00031",6.327273
"9925","00031",6.327273
"9926","00031",6.327273
"9927","00031",6.955241
"9928","00031",6.910492
"9929","00031",6.910492
"9930","00031",6.910492
"9931","00031",6.910492
"9970","00031",6.394505
"9971","00031",6.394505
"9972","00031",6.394505
"9973","00031",6.394505
"9974","00031",5.842236
"9975","00031",5.79082
"9976","00031",5.79082
"9977","00031",5.79082
"9978","00031",5.79082
"10061","00031",8.164
"10062","00031",8.164
"10063","00031",8.164
"10064","00031",8.164
"10065","00031",7.564425
"10066","00031",7.522442
"10067","00031",7.522442
"10068","00031",7.522442
"10069","00031",7.522442
"10086","00031",9.309039
"10087","00031",9.263245
"10088","00031",9.263245
"10089","00031",9.263245
"10090","00031",9.263245
"10106","00035",4.690217
"10107","00035",4.690217
"10108","00035",4.690217
"10109","00035",4.690217
"10142","00041",4.713725
"10143","00041",4.713725
"10144","00041",4.713725
"10145","00041",4.713725
"10146","00041",6.772669
"10147","00041",6.720769
"10148","00041",6.720769
"10149","00041",6.720769
"10150","00041",6.720769
"10780","00045",3.481341
"10781","00045",3.481341
"10782","00045",3.441818
"10783","00045",3.441818
"10784","00045",3.441818
"10785","00045",3.441818
"10898","00045",4.679764
"10899","00045",4.679764
"10900","00045",4.625424
"10901","00045",4.625424
"10902","00045",4.625424
"10903","00045",4.625424
"11009","00067",2.839024
"11010","00067",2.839024
"11011","00067",2.839024
"11012","00067",2.839024
"11047","00067",3.112821
"11048","00067",3.112821
"11049","00067",3.112821
"11050","00067",3.112821
"11051","00067",3.218919
"11052","00067",3.218919
"11053","00067",3.218919
"11054","00067",3.218919
"11055","00067",6.187704
"11056","00067",6.139286
"11057","00067",6.139286
"11058","00067",6.139286
"11059","00067",6.139286
"11080","00069",5.765079
"11081","00069",5.765079
"11082","00069",5.765079
"11083","00069",5.765079
"11084","00069",6.450508
"11085","00069",6.439863
"11086","00069",6.439863
"11087","00069",6.439863
"11088","00069",6.439863
"11148","00077",5.843478
"11149","00077",5.843478
"11150","00077",5.843478
"11151","00077",5.843478
"11152","00077",6.02213
"11153","00077",5.964901
"11154","00077",5.964901
"11155","00077",5.964901
"11156","00077",5.964901
"11335","00093",2.28728
"11336","00093",2.28728
"11337","00093",2.221023
"11338","00093",2.221023
"11339","00093",2.221023
"11340","00093",2.221023
"11360","00101",4.7625
"11361","00101",4.7625
"11362","00101",4.7625
"11363","00101",4.7625
"11400","00103",7.900249
"11401","00103",7.835587
"11402","00103",7.835587
"11403","00103",7.835587
"11404","00103",7.835587
"11417","00123",8.076563
"11418","00123",8.076563
"11419","00123",8.076563
"11420","00123",8.076563
"11421","00123",8.851472
"11422","00123",8.863333
"11423","00123",8.863333
"11424","00123",8.863333
"11425","00123",8.863333
"11599","00123",7.203261
"11600","00123",7.203261
"11601","00123",7.203261
"11602","00123",7.203261
"11690","00001",7.709302
"11691","00001",7.709302
"11692","00001",7.709302
"11693","00001",7.709302
"11694","00001",8.893847
"11695","00001",8.875794
"11696","00001",8.875794
"11697","00001",8.875794
"11698","00001",8.875794
"11720","00001",6.769767
"11721","00001",6.769767
"11722","00001",6.769767
"11723","00001",6.769767
"11724","00001",7.860786
"11725","00001",7.832432
"11726","00001",7.832432
"11727","00001",7.832432
"11728","00001",7.832432
"11759","00003",7.423864
"11760","00003",7.423864
"11761","00003",7.423864
"11762","00003",7.423864
"11763","00003",6.597307
"11764","00003",6.548413
"11765","00003",6.548413
"11766","00003",6.548413
"11767","00003",6.548413
"11796","00003",6.11087
"11797","00003",6.11087
"11798","00003",6.11087
"11799","00003",6.11087
"11800","00003",5.584615
"11801","00003",5.584615
"11802","00003",5.584615
"11803","00003",5.584615
"11804","00003",5.962175
"11805","00003",5.932813
"11806","00003",5.932813
"11807","00003",5.932813
"11808","00003",5.932813
"11843","00005",4.508791
"11844","00005",4.508791
"11845","00005",4.508791
"11846","00005",4.508791
"11847","00005",5.1707
"11848","00005",5.165737
"11849","00005",5.165737
"11850","00005",5.165737
"11851","00005",5.165737
"11899","00009",7.204878
"11900","00009",7.204878
"11901","00009",7.204878
"11902","00009",7.204878
"11903","00009",6.95
"11904","00009",6.95
"11905","00009",6.95
"11906","00009",6.95
"11907","00009",6.136759
"11908","00009",6.068093
"11909","00009",6.068093
"11910","00009",6.068093
